slug,id,name,category,pricefrom,price,unit,shortdesc,description,image,pricetables_json
zolotoy-gorbatyy-karas,zolotoy-gorbatyy-karas,Золотой горбатый карась,v-nalichii-i-pod-zakaz,от 800 руб.,800,кг,Декоративная форма карася с характерной высокой спиной и золотистой окраской.,"Самый неприхотливый вид по кислороду из всех рыб.
Может зимовать при глубине 50 см ,
без подачи кислорода.
Вес рыбок ≈ 150 -1’200 гр.
Основная навеска ≈ 400-700 гр. 90 %.
Оптом бывает ≈ 1 раз в году с 5 мая по 15 июля. Выростает до 3 кг.
Он половозрелый с икрой.",/images/fish/ZolotoiGorbatyiKaras/Золотоигорбатыикарась.png,"[{""title"":""Оптовая цена от 800 руб./кг.\nРазмер и навеска уточняются перед отгрузкой."",""rows"":[{""volume"":""От 300 кг"",""price"":""800 руб.""},{""volume"":""От 100 кг"",""price"":""980 руб.""}]}]"
zherekh,zherekh,Жерех,v-nalichii-i-pod-zakaz,от 800 руб.,800,кг,"Хищная рыба быстрых рек, известная своей стремительной атакой на добычу.","Жерех – хищная пресноводная рыба семейства карповых. Она известна своей силой, бойкостью и быстротой. Средняя длина взрослого жереха – 50-55 см, вес 1,5-3 кг, но встречаются особи, достигающие 10 кг. Растет жерех очень быстро, питается мелкой рыбешкой (уклейкой, плотвой и пескарем).

Жерех – одна из самых осторожных рыб. Ловля его требует тонкой маскировки, и рыбак, поймавший жереха, может считать себя профессионалом в рыбацком деле.",/images/fish/Zhereh/Жерех.png,"[{""title"":""Оптовая цена от 800 руб./кг.\nРазмер и навеска уточняются перед отгрузкой."",""rows"":[{""volume"":""От 300 кг"",""price"":""800 руб.""},{""volume"":""От 100 кг"",""price"":""990 руб.""}]}]"
gustera,gustera,Густера,v-nalichii-i-pod-zakaz,от 100 руб.,100,кг,"Стайная рыба семейства карповых, обитающая в реках и водохранилищах.","Густера – рыба семейства карповых, рода лещей. Она является стайной придонной рыбой. Внешне густера очень похожа на леща. Эта рыба проворна, быстра, бесстрашна и даже нахальна.

Если к удочкам подошла стайка густеры, она набрасывается на насадку и объедает все крючки дочиста. Шум на берегу их не пугает.

Длина этой рыбки 25-35 см, вес 200-300 г, некоторые взрослые особи достигают и 1 кг. Густера – красивая рыбка, которая украсит и оживит ваш пруд.",/images/fish/Gystera/Густера.png,"[{""title"":""Оптовая цена от 100 руб./кг.\nРазмер и навеска уточняются перед отгрузкой."",""rows"":[{""volume"":""От 300 кг"",""price"":""100 руб.""},{""volume"":""От 100 кг"",""price"":""140 руб.""}]}]"
sinets,sinets,Синец,v-nalichii-i-pod-zakaz,от 800 руб.,800,кг,"Пресноводная рыба с удлинённым телом, предпочитающая глубокие участки рек и озёр.","Синец (сопа) — озёрная рыба из семейства карповых, близкий родственник леща и густеры. Эта рыбка обычно достигает длины до 40 см. Чешуя синца – светлая, с серебристым отливом.

Эта активная рыбка играет важную роль в экосистеме водоема, так как является источником пищи для хищных рыб. Наличие синца в водоеме указывает на его экологичность. Светлые стайки этой рыбы украшают пруд и радуют глаз.",/images/fish/Sinets/Синец.png,"[{""title"":""Оптовая цена от 800 руб./кг.\nРазмер и навеска уточняются перед отгрузкой."",""rows"":[{""volume"":""От 300 кг"",""price"":""800 руб.""},{""volume"":""От 100 кг"",""price"":""980 руб.""}]}]"
buffalo,buffalo,Буффало,v-nalichii-i-pod-zakaz,от 1.149 руб.,1149,кг,"Североамериканская рыба, схожая с карпом, подходящая для прудового разведения.","В российских водоемах все чаще встречается буффало – крупная рыба, внешне напоминающая карася, завезенная из Америки. В отличие от карася, она относится к семейству чукучановых. 

Отличается более крупной и темной чешуей, округлой головой и толстыми губами. В прудовых хозяйствах охотно поедает комбикорма. Обычно держится стаями. 

Буффало отличается высокой устойчивостью к неблагоприятным условиям, в том числе к мутной воде. 
Эта рыба очень полезна для экосистемы пруда, так как питается зоопланктоном, который вредит всей структуре пруда.",/images/fish/Buffalo/Буффало.png,"[{""title"":""Оптовая цена от 1.149 руб./кг.\nДлина от 20-37 см.\nВес 100 гр.- 600 гр."",""rows"":[{""volume"":""От 200 кг"",""price"":""1.149 руб.""},{""volume"":""От 100 кг"",""price"":""1.599 руб.""}]}]"
vobla,vobla,Вобла,v-nalichii-i-pod-zakaz,от 1.149 руб.,1149,кг,"Подвид плотвы, популярный благодаря своим вкусовым качествам в вяленом виде.","Вобла – вид лучеперых рыб из семейства карповых. Очень похожа на плотву, отличается от нее бóльшими размерами (до 30 см). Вобла считается животноядной рыбой, хотя и не является хищником. 

Может зимовать на глубине более 4 м без аэрации. Хорошо клевать начинает, когда сходит лед. Нерестится вобла 6-7 раз за всю жизнь. Любит плавать косяками на самой поверхности пруда. 

Вобла имеет большое промысловое значение, так как ее заготавливают в больших количествах (вяленая, соленая, сушеная)",/images/fish/Vobla/Вобла.png,"[{""title"":""Оптовая цена от 1.149 руб./кг.\nДлина от 20-37 см.\nВес 100 гр.- 600 гр."",""rows"":[{""volume"":""От 200 кг"",""price"":""1.149 руб.""},{""volume"":""От 100 кг"",""price"":""1.599 руб.""}]}]"
golavl,golavl,Голавль,v-nalichii-i-pod-zakaz,от 1.149 руб.,1149,кг,"Сильная и осторожная рыба, обитающая в реках с течением.","Голавль – распространенная рыба семейства карповых, обычно средних размеров. Его легко узнать по большой, плоской сверху голове с широким лбом. Голавль популярен среди многих рыболовов, практикующих разные виды ловли.

Эта рыба очень красива: с темно-зеленой спиной, серебристыми боками, украшенными темной каймой на чешуйках. Его плавники отличаются яркими цветами.",/images/fish/Golavl/Голавль.png,"[{""title"":""Оптовая цена от 1.149 руб./кг.\nДлина от 20-37 см.\nВес 100 гр.- 600 гр."",""rows"":[{""volume"":""От 200 кг"",""price"":""1.149 руб.""},{""volume"":""От 100 кг"",""price"":""1.599 руб.""}]}]"
serebryannyy-gorbatyy-karas,serebryannyy-gorbatyy-karas,Серебрянный горбатый карась,v-nalichii-i-pod-zakaz,от 1.149 руб.,1149,кг,Декоративная разновидность карася с серебристой окраской и высокой формой тела.,"Серебряный горбатый карась – редкий вид прудовой рыбы, отличающийся высоким округлым телом с небольшим горбом за маленькой головой. Окрас варьируется от светло-серебристого до ярко-серебристого, иногда до темного, в зависимости от условий обитания.

Серебряный горбатый карась может вырастать до 3 кг и более, что зависит от кормовой базы водоема. Питается он растительностью, мотылем, зоопланктоном и сбалансированным кормом. Обитает он на илистом, заросшем водорослями дне на глубине до двух метров. Нерестится в 2-3-летнем возрасте при температуре воды около 20 градусов.",/images/fish/SerebryannyiGorbatyiKaras/Серебряныигорбатыикарась.png,"[{""title"":""Оптовая цена от 1.149 руб./кг.\nДлина от 20-37 см.\nВес 100 гр.- 600 гр."",""rows"":[{""volume"":""От 200 кг"",""price"":""1.149 руб.""},{""volume"":""От 100 кг"",""price"":""1.599 руб.""}]}]"
serebryanyy-karas,serebryanyy-karas,Серебряный карась,v-nalichii-i-pod-zakaz,от 29 руб.,29,кг,"Неприхотливая рыба, устойчивая к неблагоприятным условиям водоёма.","Серебряный карась – пресноводная рыба из семейства карповых, отличающаяся от золотого карася более крупной и светлой чешуей, а также менее высоким телом. Обычно чешуя серебристо-серого или зеленовато-серого цвета.

Он в природе является добычей хищных рыб. И если необходимо прокормить хищника, то нужен дикий серебряный карась, который начинает нерестится в 2-3 летнем возрасте до 4-х раз за одно лето. Может зимовать без аэрации при глубине более 1-1,5 м",/images/fish/SerebryannyiKaras/Серебряныикарась.png,"[{""title"":""Оптовая цена от 690 руб./кг.\nДлина от 12-37 см.\nВес 50 гр.- 800 гр."",""rows"":[{""volume"":""От 300 кг"",""price"":""690 руб.""},{""volume"":""От 100 кг"",""price"":""1100 руб.""}]},{""title"":""Розничная цена от 29 руб./шт.\nДлина от 7 см."",""rows"":[{""volume"":""От 500 шт"",""price"":""29 руб.""},{""volume"":""От 100 шт"",""price"":""55 руб.""},{""volume"":""От 10 шт"",""price"":""80 руб.""}]}]"
chekhon,chekhon,Чехонь,v-nalichii-i-pod-zakaz,от 1.149 руб.,1149,кг,"Стайная рыба с вытянутым телом, предпочитающая открытые участки рек и водохранилищ.","Чехонь – представитель семейства карповых, отличающийся серповидным телом: узким, длинным и изогнутым от головы к хвосту. У нее сплющенные бока, выпуклое брюхо и крупные глаза.

Чешуя чехони серебристо-белая с перламутром, спина – зеленоватая или серо-бурая, плавники – серые или дымчато-красноватые. Обычно она вырастает до 20-30 см в длину и весит около 200-500 граммов, хотя отдельные особи могут достигать 50-60 см.",/images/fish/Chehon/Чехонь.png,"[{""title"":""Оптовая цена от 1.149 руб./кг.\nДлина от 20-37 см.\nВес 100 гр.- 600 гр."",""rows"":[{""volume"":""От 200 кг"",""price"":""1.149 руб.""},{""volume"":""От 100 кг"",""price"":""1.599 руб.""}]}]"
yaz,yaz,Язь,v-nalichii-i-pod-zakaz,от 799 руб.,799,кг,"Крупная пресноводная рыба с мощным телом, ценимая рыболовами.","Язь относится к семейству карповых. Он может достигать длины до 70 см и веса 7-8 кг. Язь – красивая рыба: тело окрашено в золотой, красный, белый и серебряный цвета.

Любимые места язя – водохранилища, озера, проточные пруды, заводи. Он держится около илистого дна. 
Язь ценится среди рыболовов как мощная и активная рыба со вкусным мясом.",/images/fish/Yaz/Язь.png,"[{""title"":""Оптовая цена от 799 руб./кг.\nРазмер 15-45 см.\nВес 70 гр. - 3 кг."",""rows"":[{""volume"":""От 500 кг"",""price"":""799 руб.""},{""volume"":""От 300 кг"",""price"":""899 руб.""},{""volume"":""От 200 кг"",""price"":""999 руб.""},{""volume"":""От 100 кг"",""price"":""1299 руб.""}]}]"
zolotoy-karas,zolotoy-karas,Золотой карась,v-nalichii-i-pod-zakaz,от 1.149 руб.,1149,кг,Декоративная и прудовая форма карася с яркой золотистой окраской.,"Карась золотой – представитель семейства карповых. Отличается гладкой чешуей золотистого цвета и утолщенной спиной. Золотой карась набирает вес постепенно: молодые особи весят около 400-700 граммов, зрелые – 750 г – 1,2 кг, затем 1,2-2,5 кг, а к старости – 2,5-5 кг.

Максимальная длина составляет 50 см. Предпочитает озера, водохранилища и пруды, реже встречается в реках. Обитает в местах с густой подводной и надводной растительностью, образующей заросли, и с илистым или песчано-илистым дном, избегая открытых пространств.

Не боится холодной воды. Питается мелкими организмами планктона.
Разведение такого уникального обитателя пруда, как золотой карась, доставит вам удовольствие!",/images/fish/ZolotoiKaras/Золотоикарась.png,"[{""title"":""Оптовая цена от 1.149 руб./кг.\nДлина от 20-37 см.\nВес 100 гр.- 600 гр."",""rows"":[{""volume"":""От 200 кг"",""price"":""1.149 руб.""},{""volume"":""От 100 кг"",""price"":""1.599 руб.""}]}]"
bester,bester,Бестер,osetrovye-porody,от 400 руб./шт,400,кг,"Гибрид белуги и стерляди, отличающийся быстрым ростом и ценным мясом.","Бестер – рыба семейства осетровых, гибрид белуги со стерлядью. Впервые был получен в 1952 году. Бестер обычно вырастает до 50-80 см в длину, но может достигать и 2 метров, набирая вес более 30 кг. Окраска тела варьируется от светло-серого до черного, иногда с коричневыми вкраплениями. 

Характерной особенностью бестера являются жучки, расположенные на спине, боках и брюхе, между которыми находятся звездчатые чешуйки, обеспечивающие защиту от хищников.

В традиционной русской кухне считается деликатесом, как и все осетровые рыбы. Выпускать бестера в естественные водоёмы запрещено из-за опасности генетического загрязнения чистых видов осетровых, прежде всего белуги.",/images/fish/Bester/Бестер.png,"[{""title"":""Цена от 400 руб.\nДлина от 18-55 см.\nВес 250 гр.- 1.6 кг"",""rows"":[{""volume"":""От 300 шт"",""price"":""400 руб./шт""},{""volume"":""От 50-100 шт"",""price"":""450 руб./шт""},{""volume"":""От 10-50 шт"",""price"":""500 руб./шт""}]},{""title"":""Цена от 800 руб./кг.\nДлина от 18-55 см.\nВес 250 гр.- 1.6 кг"",""rows"":[{""volume"":""От 300 кг"",""price"":""800 руб./кг""},{""volume"":""От 200 кг"",""price"":""1400 руб./кг""},{""volume"":""От 100 кг"",""price"":""1800 руб./кг""}]}]"
osetr,osetr,Осетр,osetrovye-porody,от 1.149 руб.,1149,кг,"Древняя ценная рыба с хрящевым скелетом, известная чёрной икрой.","Осетр – это редкий и дорогой вид рыбы, которую по праву можно назвать элитной. Эта крупная рыба имеет вытянутое тело с рядами звездообразных пластинок. Спинка осетра темная, бока серого цвета, а брюшко светлое. Осетровые отличаются своими размерами – средний вес осетра 12-25 кг, но особо крупные особи могут весить более 80 кг!",/images/fish/Osetr/Осетр.png,"[{""title"":""Оптовая цена от 1.149 руб./кг.\nДлина от 20-37 см.\nВес 100 гр.- 600 гр."",""rows"":[{""volume"":""От 200 кг"",""price"":""1.149 руб.""},{""volume"":""От 100 кг"",""price"":""1.599 руб.""}]}]"
sterbel,sterbel,Стербел,osetrovye-porody,от 400 руб./шт,400,кг,"Гибрид стерляди и белуги, сочетающий быстрый рост и высокое качество продукции.","Стербел – крупная пресноводная рыба семейства осетровых. Стербел является гибридом белуги и стерляди. Он очень похож на бестера и практически не отличается от него по характеристикам. Взрослая особь может достигать длины 100-120 см и веса 10-20 кг. Полового созревания самки достигают в 5 лет.

Нерестится обычно раз в 2 года. Икра стербела темно-серая, именно из-за нее он является ценной рыбой.
Стербел – неприхотливая рыба, ее несложно разводить даже новичкам.",/images/fish/Sterbel/Стербел.png,"[{""title"":""Цена от 400 руб.\nДлина от 18-55 см.\nВес 250 гр.- 1.6 кг"",""rows"":[{""volume"":""От 300 шт"",""price"":""400 руб./шт""},{""volume"":""От 50-100 шт"",""price"":""450 руб./шт""},{""volume"":""От 10-50 шт"",""price"":""500 руб./шт""}]},{""title"":""Цена от 800 руб./кг.\nДлина от 18-55 см.\nВес 250 гр.- 1.6 кг"",""rows"":[{""volume"":""От 300 кг"",""price"":""800 руб./кг""},{""volume"":""От 200 кг"",""price"":""1400 руб./кг""},{""volume"":""От 100 кг"",""price"":""1800 руб./кг""}]}]"
veslonos,veslonos,Веслонос,osetrovye-porody,от 1600 руб.,1600,кг,Крупная фильтрующая рыба с характерным длинным рылом.,"Веслонос — уникальный представитель осетровых, обитающий преимущественно в водах Мексиканского залива. 

Эта рыба впечатляет своими размерами: длина тела может достигать 2 метров, а вес — 90 кг. Веслонос — фильтратор, питающийся зоо- и фитопланктоном, а также детритом. Часто его можно увидеть весной и летом у поверхности воды, где он иногда выпрыгивает. 

Веслонос ценится как за вкусное мясо, так и за деликатесную чёрную икру.",/images/fish/Veslonos/Веслонос.png,"[{""title"":""Оптовая цена от 1600 руб./кг.\nРазмер 25-150 см.\nВес 100 гр-15 кг"",""rows"":[{""volume"":""От 300 кг"",""price"":""1600 руб.""},{""volume"":""От 200 кг"",""price"":""1.900 руб.""},{""volume"":""От 100 кг"",""price"":""2.400 руб.""}]}]"
raduzhnaya-forel,raduzhnaya-forel,Радужная форель,lososevye-porody,от 1.149 руб.,1149,кг,Холодноводная рыба с яркой боковой полосой и нежным мясом.,"Радужная форель – рыба семейства лососевых. Имеет зеленоватую спину и серебристое брюхо, усеянные темными пятнами по телу и плавникам. Во время нереста окрас становится ярче. Ее легко узнать по розовой полосе вдоль боковой линии и розоватым жабрам. Длина тела достигает почти 100 см при весе до 20 кг. Форель — сильная и очень красивая рыба, гонясь за хищником может развить скорость до 16 км в час.

Обязательным условием для нормальной жизни форели является обильное насыщение воды кислородом. Малой содержание кислорода угнетает рыбу и тормозит её. Держится у поверхности воды, потому что заглатывает воздух для наполнения плавательного пузыря. Поэтому зимой, когда водоем покрывается льдом, важно делать проруби, иначе форель не сможет выжить в полностью замерзшей воде.",/images/fish/RadyzhnayaForel/Радужнаяфорель.png,"[{""title"":""Оптовая цена от 1.149 руб./кг.\nДлина от 20-37 см.\nВес 100 гр.- 600 гр."",""rows"":[{""volume"":""От 200 кг"",""price"":""1.149 руб.""},{""volume"":""От 100 кг"",""price"":""1.599 руб.""}]}]"
muksun,muksun,Муксун,lososevye-porody,от 1.149 руб.,1149,кг,Северная рыба семейства сиговых с деликатесным вкусом.,"Муксун — вид лососёвых рыб, достигает в длину 90 см и массы до 13,8 кг. Отличительные черты — вытянутое тело с тёмной спинкой, серебристыми боками и белым брюшком. Муксун — ценный промысловый вид, известный своим нежным, жирным мясом практически без костей, которое считается деликатесом.",/images/fish/Myksyn/Муксун.png,"[{""title"":""Оптовая цена от 1.149 руб./кг.\nДлина от 20-37 см.\nВес 100 гр.- 600 гр."",""rows"":[{""volume"":""От 200 кг"",""price"":""1.149 руб.""},{""volume"":""От 100 кг"",""price"":""1.599 руб.""}]}]"
